dataset,level,unit,year,area_or_district_or_taluk,crop,value,source_resource_id
plantation_production,district,tonnes,2018-19,Shivamogga,Arecanut (processed),169305,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Dakshina Kannada,Arecanut (processed),140053,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Davanagere,Arecanut (processed),116451,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Tumkur,Arecanut (processed),100294,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Uttara Kannada,Arecanut (processed),87282,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Chitradurga,Arecanut (processed),75946,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Chikmagalur,Arecanut (processed),67140,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Udupi,Arecanut (processed),32310,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,tonnes,2018-19,Kodagu,Arecanut (processed),13777,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,thousand nuts,2018-19,Tumkur,Coconut,1305171,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,thousand nuts,2018-19,Chikmagalur,Coconut,480862,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,thousand nuts,2018-19,Udupi,Coconut,393989,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,thousand nuts,2018-19,Chitradurga,Coconut,343102,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,district,thousand nuts,2018-19,Dakshina Kannada,Coconut,295263,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,state,thousand nuts,2018-19,Karnataka,Coconut,4321762,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,state,tonnes,2018-19,Karnataka,Arecanut (processed),850698,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,state,tonnes,2018-19,Karnataka,Cardamom,207,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
plantation_production,state,tonnes,2018-19,Karnataka,Cashewnut (processed),14250,11654dc5-4d33-4c7d-96ba-ecfd013ec2e0
