village,taluk,district,lat,lon,coconut_acres
Dhananjayapura,Arsikere,Hassan,13.3018,76.070447,39.45
Dibburu,Arsikere,Hassan,13.49652,76.328245,635.15
Doddagatta,Arsikere,Hassan,13.260396,76.04775,322.22
Doddaghatta,Arsikere,Hassan,13.260396,76.04775,76.43
Doddenahalli,Arsikere,Hassan,13.217858,76.218074,376.52
Dummenahalli,Arsikere,Hassan,13.324686,76.329339,296.25
Dyamenahalli,Arsikere,Hassan,13.323243,76.048927,147.8
Em Gollarahalli,Arsikere,Hassan,13.174363,76.280712,199.72
G Honnenahalli,Arsikere,Hassan,13.130221,76.335731,165.58
Gandasi,Arsikere,Hassan,13.162346,76.305414,171.53
Geejihalli,Arsikere,Hassan,13.28902,76.247684,255.6
Giribommanahalli,Arsikere,Hassan,13.500424,76.274831,105.37
Gollarahalli,Arsikere,Hassan,13.174363,76.280712,610.87
Gopagondanahalli,Arsikere,Hassan,13.293794,76.07214,182.58
Govinapura,Arsikere,Hassan,13.269374,76.18174,139.62
Guddenahalli,Arsikere,Hassan,13.180756,76.375734,279.52
Gundakanahalli,Arsikere,Hassan,13.164573,76.33484,167.75
Gundkanahalli,Arsikere,Hassan,13.298687,76.25304,48.98
Guttinakere,Arsikere,Hassan,13.242281,76.247209,342.65
H Kammaragatta,Arsikere,Hassan,13.161933,76.178134,58.45
Habbanagatta,Arsikere,Hassan,13.228388,76.26427,737.42
Habbanagatta Kavalu,Arsikere,Hassan,13.26883,76.251005,390.2
Halagenahalli,Arsikere,Hassan,13.196883,76.267837,55.95
Halekalyadi,Arsikere,Hassan,13.245307,76.15803,275.95
Hallitimmanahalli,Arsikere,Hassan,13.467211,76.25226,71.58
Hampanakatte,Arsikere,Hassan,13.51293,76.350638,138.17
Handralu,Arsikere,Hassan,13.28503,76.129072,633.75
Haralahalli,Arsikere,Hassan,13.236676,76.1698,98.93
Haralakatta,Arsikere,Hassan,13.450456,76.341871,838.73
Haranahalli,Arsikere,Hassan,13.245951,76.222852,900.13
Haruvanahalli,Arsikere,Hassan,13.427524,76.179897,58.3
Hebbaranahalli,Arsikere,Hassan,13.224608,76.23895,196.42
Heggatta,Arsikere,Hassan,13.176521,76.331364,352.72
Hirisadarahalli,Arsikere,Hassan,13.460533,76.310764,431.25
Holalkere,Arsikere,Hassan,13.437402,76.359783,726.77
Honnakatta,Arsikere,Hassan,13.4728,76.305768,277.55
Honnashettihalli,Arsikere,Hassan,13.291174,76.318148,70.42
Honnenahalli,Arsikere,Hassan,13.130221,76.335731,78.4
Hosahalli,Arsikere,Hassan,13.149519,76.172663,317.47
Hullekere,Arsikere,Hassan,13.187602,76.366824,284.52
Hunasekatte,Arsikere,Hassan,13.281273,76.33041,131.12
Isuvanahalli,Arsikere,Hassan,13.515596,76.29522,36.8
J  Gollarahalli,Arsikere,Hassan,13.174363,76.280712,0.7
Jadagatta,Arsikere,Hassan,13.186583,76.221878,84.35
Jajuru,Arsikere,Hassan,13.341233,76.239332,250.95
Jalagaranahalli,Arsikere,Hassan,13.203979,76.36523,123.23
Jannavara,Arsikere,Hassan,13.438491,76.290878,241.85
Javagal,Arsikere,Hassan,13.305949,76.058466,456.43
Javanahalli,Arsikere,Hassan,13.301655,76.207758,35.7
Jeekanahalli,Arsikere,Hassan,13.196085,76.336211,251.23
Jobigenahalli,Arsikere,Hassan,13.172121,76.247799,119.6
Joganahalli,Arsikere,Hassan,13.172121,76.247799,19.83
Jyotimallapura,Arsikere,Hassan,13.245297,76.288614,81.48
K Diggenahalli,Arsikere,Hassan,13.25975,76.163219,159.32
K G Agrahara,Arsikere,Hassan,13.4089,76.203281,313.35
K Kasuvanahalli,Arsikere,Hassan,13.515596,76.29522,161.9
K Venkatapura,Arsikere,Hassan,13.435566,76.157175,266.12
Kadalamagge,Arsikere,Hassan,13.49911,76.378217,324.2
Kalgundi,Arsikere,Hassan,13.46185,76.263099,258.2
Kalkere,Arsikere,Hassan,13.232811,76.309847,51.78
Kallanaykanahalli,Arsikere,Hassan,13.338453,76.22344,354.98
Kallusadarahalli,Arsikere,Hassan,13.486174,76.246391,226.68
Kalyadi,Arsikere,Hassan,13.233462,76.149456,399.75
Kamalapura,Arsikere,Hassan,13.235072,76.186895,51.3
Kamasamudra,Arsikere,Hassan,13.381319,76.370835,602.27
Kamenahalli,Arsikere,Hassan,13.360444,76.046085,276.67
Kammaragatta,Arsikere,Hassan,13.161933,76.178134,88.1
Kanakatte,Arsikere,Hassan,13.520375,76.3136,561.1
Kannenahalli,Arsikere,Hassan,13.186251,76.250263,37.65
Karadihalli,Arsikere,Hassan,13.493462,76.259589,549.72
Karagunda,Arsikere,Hassan,13.251905,76.191997,355.35
Karehalli,Arsikere,Hassan,13.319206,76.270109,62.52
Karlahalli,Arsikere,Hassan,13.328266,76.314338,114.35
Kelagina Hosahalli,Arsikere,Hassan,13.368126,76.108748,124.27
Kellangere,Arsikere,Hassan,13.29098,76.282339,512.6
Kenchenahalli,Arsikere,Hassan,13.329281,76.344847,169.77
Kenganahalli,Arsikere,Hassan,13.303524,76.13459,73.33
Kenkere,Arsikere,Hassan,13.178121,76.406671,624.22
Kittanakere,Arsikere,Hassan,13.505205,76.357617,546.4
Kodihalli,Arsikere,Hassan,13.30934,76.070544,228.48
Kolagunda,Arsikere,Hassan,13.33189,76.116316,740.05
